,title,tags
37,"Was the Chinese government justified in posthumously charging 20,000 citizens with ""subversive seismic activity""?","SEE MORE: IFC, IFC, Opinion, Vol 47 Issue 05, Poll"
38,What qualifies Clayton Cressbeckler to be president?,"SEE MORE: IFC, IFC, Opinion, Vol 47 Issue 05, Poll"
39,Plan For Operation Humanitarian Firestorm,"Opinion, SEE MORE: Graphical Feature, Vol 47 Issue 05, Graphical Feature"
40,Which will be the next state to legalize marijuana for the sick and dying?,"SEE MORE: IFC, IFC, Opinion, Vol 47 Issue 05, Poll"
41,"If Obama attempts to steal the pot filled with the world's, does that prove he is the trickster god Anansi?","SEE MORE: IFC, IFC, Opinion, Vol 47 Issue 05, Poll"
42,Plan For Operation Humanitarian Firestorm,"SEE MORE: IFC, IFC, Opinion, Blog, Vol 47 Issue 05"
43,Apple Fans Lining Up For iHand,"IFC, Opinion, Vol 47 Issue 05, SEE MORE: Science & Technology, Science & Technology, Blog"
44,Bard College Named Nation's No. 1 Dinner Party School,"News, Opinion, SEE MORE: Back To School, Back To School, Vol 47 Issue 05"
45,Aging Airliner Flies Out To Sea To Die,"News in Photos, SEE MORE: Science & Technology, Opinion, Vol 47 Issue 05, Science & Technology"
46,Should the U.S. send more troops to Iran to help clean up after the series of explosions the nation is now experiencing?,"SEE MORE: IFC, IFC, Opinion, Vol 47 Issue 05, Poll"
47,I Won,"SEE MORE: Opinion, Opinion, Vol 49 Issue 16, Commentary"
48,"Obama Returns From Trade Summit With 5 Stout Ships Full Of Cardamom, Silk, And Indigo","barack obama, Opinion, News in Brief, World, Vol 51 Issue 40, SEE MORE: World"
49,62-Year-Old With Gun Only One Standing Between Nation And Full-Scale Government Takeover,"SEE MORE: News, Vol 49 Issue 04, Opinion, News"
50,Let Us Identify The Faggots And Then Inform Them Of Their Status,"Jack Polanski, gay & lesbian, SEE MORE: Opinion, Opinion, Vol 45 Issue 50, Commentary"
51,"Zimmerman Found Not Guilty, Technically, But C’mon","SEE MORE: News, Vol 49 Issue 29, Opinion, race, News"
52,"I Fucked My Way Into This Mess, And I'll Fuck My Way Out","Vol 42 Issue 38, SEE MORE: Opinion, Kurt Beckman, Opinion, Commentary, sex"
53,Kurt Beckman,Opinion
54,"Corporation Reaches Goal, Shuts Down","corporations, SEE MORE: corporations, Opinion, Radio News, Vol 42 Issue 38"
55,Could This Rare Species Of Frog Hold The Key To Making Cancer Far Worse?,"medicine, Opinion, science, Vol 51 Issue 14, SEE MORE: Science & Technology, Science & Technology, animals, Sunday Magazine"
56,"Study Finds Only 1 In 3 Lasik Surgeries End In Laser Boring Through Eye, Incinerating Brain, Shooting Through Skull On Other Side","News, medicine, Vol 53 Issue 25, SEE MORE: News, Opinion, News in Brief, science, health"
57,Luke Kuechly Undergoes Quick Brain Arthroscopy To Clean Up Cerebral Cortex,"Vol 51 Issue 37, medicine, Opinion, NFL Football, SEE MORE: football, football, health, Sports News in Brief"
58,FDA Approves Female-Libido-Enhancing Man,"medicine, Vol 51 Issue 23, Opinion, News in Brief, science, SEE MORE: Science & Technology, sex, Science & Technology, health"
59,Life-Saving Drug More Accessible To Lab Rat Than Majority Of Americans,"News, medicine, healthcare, Vol 51 Issue 38, SEE MORE: News, Opinion, News in Brief"
60,How Clinical Trials Work,"medicine, healthcare, Infographic, Vol 52 Issue 45, Opinion, science, SEE MORE: Science & Technology, Science & Technology"
61,The Time For Watered-Down And Effectively Meaningless Gun Laws Is Now,"SEE MORE: Opinion, Opinion, Senator Harry Reid (D-NV), Commentary, Our Annual Year 2013, Vol 49 Issue 12"
62,How Climate Change Will Affect You,"Infographic, SEE MORE: Science & Technology, Opinion, Vol 49 Issue 46, Science & Technology"
63,Naïve Detective Suspects Fair Play,"crime, justice, Opinion, SEE MORE: crime, Vol 47 Issue 14, Radio News"
64,Tips For Jury Duty,"News, justice, SEE MORE: News, Infographic, Opinion, Tips, courts, Vol 51 Issue 46"
65,Paranoid Oscar Pistorius Still Thinks Burglar After Him,"crime, News, SEE MORE: News, Opinion, News in Brief, athletes, Vol 50 Issue 09"
66,Strongside/Weakside: Stephen Curry,"Strongside/Weakside, Opinion, basketball, Vol 51 Issue 18, Stephen Curry, NBA Basketball, SEE MORE: basketball"
67,Stephen Curry,Opinion
68,'You're Right' Host Sebastian Moore Reminds Viewers To Purchase His Liberal Merchandise So Others Know They’re Good,"You're Right, Opinion, Vol 53 Issue 51, Video, SEE MORE: You're Right"
69,Immune-Deficient Realtor Forced To Spend Entire Life In Housing Bubble,"Vol 41 Issue 36, Economy, News in Photos, Opinion, people, Real Estate, disabilities, disease, SEE MORE: Economy"
70,Local Building Accessible To Only The Strongest Of The Handicapped,"SEE MORE: health, News in Photos, Opinion, human interest, Vol 41 Issue 39, disabilities, health"
71,"Actually, Suicide Not The Easy Way Out For Area Quadriplegic","Vol 41 Issue 47, News in Photos, Opinion, mental health, SEE MORE: death, disabilities, death"
72,How Can I Go On With Life After Losing A Finger?,"SEE MORE: Opinion, Opinion, human interest, people, Commentary, Vol 43 Issue 08, disabilities, Mike Grunder"
73,Local Building Too Wheelchair-Friendly,"civil rights, SEE MORE: health, News in Photos, Opinion, legal, Vol 42 Issue 50, disabilities, health"
74,Video – You're Right,Opinion
75,"'You're Right' Host Sebastian Moore Asks For Donations To Attend $100,000-A-Plate Trump Fundraiser So He Can Tell President To Go To Hell","You're Right, Opinion, Vol 53 Issue 49, Video, SEE MORE: You're Right"
76,'You're Right' Host Sebastian Moore Bravely Steps Outside His Liberal Bubble By Joining The KKK,"You're Right, Opinion, Video, Vol 53 Issue 48, SEE MORE: You're Right"
77,'You're Right' Host Sebastian Moore Changes Stance On Abortion After Realizing He Wouldn’t Have His Show If He Were Aborted,"You're Right, Opinion, Video, Vol 53 Issue 50, SEE MORE: You're Right"
78,‘You’re Right’ Viewers Tells Ted He’s Wrong,"You're Right, Opinion, Video, Vol 53 Issue 50, SEE MORE: You're Right"
79,How To Stand Out In The Office,"office, video, Opinion, Tips, SEE MORE: video, work"
80,Mike Grunder,Opinion
81,Bobby McNally,Opinion
82,First Female ‘Doctor Who’ Announced,"SEE MORE: Opinion, Vol 53 Issue 28, American Voices, Opinion"
83,$1 Million In Marijuana Found Smuggled In Ford Fusions,"SEE MORE: Opinion, Vol 53 Issue 28, American Voices, Opinion"
84,Historians Find Evidence Of Nation’s Founding Lobbyists’ Campaign To Influence Constitution,"News, history, Vol 53 Issue 28, Opinion, SEE MORE: history"
85,Will Smith Cast As Genie In Live-Action ‘Aladdin’ Remake,"SEE MORE: Opinion, Vol 53 Issue 28, American Voices, Opinion"
86,Disgusted Researchers Can’t Even Bring Themselves To Find Out How Much Mayo The Average American Consumes Yearly,"News, research, Vol 53 Issue 28, SEE MORE: News, Opinion, News in Brief, science, food"
87,Scientists: Humans Could Likely Outrun T-Rex,"SEE MORE: Opinion, Vol 53 Issue 28, American Voices, Opinion"
88,Nation Kept Up All Night By Sound Of Creaking Infrastructure,"News, Vol 53 Issue 28, government, SEE MORE: News, Opinion, News in Brief"
89,A.I. Making It Easier To Falsify Video Evidence,"SEE MORE: Opinion, Vol 53 Issue 28, American Voices, Opinion"
90,O.J. Simpson Granted Parole,"SEE MORE: Opinion, Vol 53 Issue 28, American Voices, Opinion"
91,Lovelorn App Aches To Know Your Location,"Internet, News, Vol 53 Issue 28, SEE MORE: News, Opinion, News in Brief, technology"
92,National Dialogue Dusted Off,"News, violence, guns, SEE MORE: News, Opinion, News in Brief, Vol 51 Issue 24, race"
93,Report: Donald Trump Paid Background Actors $50 To Cheer Him At Rally,"SEE MORE: Opinion, Donald Trump, American Voices, Opinion, Vol 51 Issue 24"
94,Serial Killer Admits He’s Lost Track Of Pattern He Was Going For Originally,"News, violence, SEE MORE: News, Opinion, death, Vol 51 Issue 24"
95,Top Summer Internships For 2015,"SEE MORE: Lifestyle, Infographic, Opinion, Lifestyle, jobs, Vol 51 Issue 24"
96,FDA Gives Food Corporations 3 Years To Eliminate Trans Fats,"SEE MORE: Opinion, American Voices, Opinion, Vol 51 Issue 24"
97,Treasury Department Asking Public To Help Choose Woman On New $10 Bill,"SEE MORE: Opinion, American Voices, Opinion, Vol 51 Issue 24"
98,Walmart Moves Greeters Back To Front Of Stores,"SEE MORE: Opinion, American Voices, Opinion, Vol 51 Issue 24"
99,God Admits He Too Close To Creation To Judge Whether It Any Good Or Not,"News, SEE MORE: News, Opinion, News in Brief, God, World, religion, Vol 51 Issue 24"
100,NRA Starts Up Their Shit About What Would Be Even Greater Injustice,"News, violence, guns, SEE MORE: News, Opinion, News in Brief, death, Vol 51 Issue 24"
101,Kellogg's Pulls Controversial 'Choco-Bastard' From Store Shelves,"Vol 46 Issue 27, Radio News, Opinion, SEE MORE: food, food"
102,Neil Young Mad At Donald Trump For Using Song For Campaign,"American Voices, Opinion, Vol 51 Issue 24, SEE MORE: American Voices"
103,Study Finds Dangers Even In Casual Bullfighting,"News, SEE MORE: Lifestyle, Opinion, Lifestyle, animals, Vol 51 Issue 24"
104,United Airlines Exploring Viability Of Stacking Them Like Cordwood,"SEE MORE: News, Vol 48 Issue 17, Opinion, News"
105,6-Day Visit To Rural African Village Completely Changes Woman’s Facebook Profile Picture,"Internet, travel, Social Media, Opinion, Lifestyle, News in Brief, Vol 50 Issue 04, World, Our Annual Year 2014, SEE MORE: World"
106,"April 5, 2010","SEE MORE: Opinion, Editorial Cartoon, Opinion, Vol 46 Issue 14"
107,God Freaks Self Out By Lying Awake Contemplating Own Immortality,"Our Annual Year 2013, SEE MORE: News, God, Vol 49 Issue 05"
108,Historians Admit To Inventing Ancient Greeks,"News, Vol 46 Issue 40, SEE MORE: Science & Technology"
109,Vol 46 Issue 40,
110,People In Healthcare.gov Stock Photos Now Visibly Panicking,"Vol 49 Issue 43, government, SEE MORE: News, News in Photos, healthcare"
111,Vol 49 Issue 43,
112,News in Photos,
113,National Geographic Finally Captures Rare Shot Of Antelopeater Feeding,"animals, News in Photos, SEE MORE: News, Vol 53 Issue 36, Nature"
114,South Postpones Rising Again For Yet Another Year,"News, SEE MORE: patriotism, 50 states, Vol 36 Issue 13"
115,Detroit Sold For Scrap,"News, SEE MORE: business, Vol 42 Issue 14, automotive, 50 states, Economy"
116,Nation Hopeful There Will Be Equally Random Chance Of Justice For Future Victims Of Police Abuse,"News in Brief, justice, Vol 51 Issue 14, SEE MORE: News, crime"
117,John Roberts Delivers Finishing Blow To Stephen Breyer To Defend Title Of Chief Justice,"News in Brief, Supreme Court, SEE MORE: News, Vol 51 Issue 49"
118,Scalia Bundles Up In Fur Robe In Preparation For D.C. Blizzard,"Supreme Court, SEE MORE: News, News in Photos, Vol 52 Issue 02"
119,Vol 50 Issue 04,
120,"Obama Compiles Shortlist Of Gay, Transsexual Abortion Doctors To Replace Scalia","News in Brief, barack obama, Supreme Court, SEE MORE: News, Vol 52 Issue 06"
121,Justice Scalia Dead Following 30-Year Battle With Social Progress,"Vol 52 Issue 05, Supreme Court, SEE MORE: News, News in Photos, death"
122,Chief Justice Roberts Putters Around House All Day In Gray Sweat Robe,"Vol 52 Issue 39, Supreme Court, SEE MORE: News, News in Photos"
123,Joseph Biden,
124,Merrick Garland Kind Of Uncomfortable With Political Analysts Casually Pointing Out He’ll Die Relatively Soon After Nomination,"News in Brief, Supreme Court, SEE MORE: News, Vol 52 Issue 10"
125,Russell Wilson,"Sports News, SEE MORE: Onion Sports’ Guide To Super Bowl XLVIII, Vol 50 Issue 04"
126,American Voices,
127,How Supreme Court Justices Are Chosen,"government, SEE MORE: News, Supreme Court, Vol 52 Issue 06, Infographic"
128,Defiant Mitch McConnell Holds Merrick Garland’s Severed Head Aloft In Front Of Capitol Building,"Supreme Court, congress, News in Brief, Vol 52 Issue 10, death, SEE MORE: News"
129,"Teens Throwing Rocks At Overgrown, Long-Vacant Supreme Court Seat","News in Brief, Vol 52 Issue 37, Supreme Court, SEE MORE: News, teenagers"
130,Biden Lines Up Sweet Summer Gig Installing Above-Ground Swimming Pools,"News in Brief, politicians, joseph biden, Vol 52 Issue 23, SEE MORE: News, jobs"
131,Pope francis,
132,Yahoo Confirms Data Breach Affected 100% Of Accounts,"SEE MORE: Opinion, American Voices, Vol 53 Issue 39"
133,"Google, Facebook Spread Misinformation About Las Vegas Shooting","SEE MORE: Opinion, American Voices, Vol 53 Issue 39"
134,Biden Quietly Asks Obama To Pick Him Up Some Of Those Real Throwing Stars From Japan,"Vol 52 Issue 19, News in Brief, politicians, joseph biden, barack obama, SEE MORE: News"
135,Handwritten Einstein Note Praising Modest Life Sells For $$1.56 Million,"SEE MORE: Opinion, Vol 53 Issue 44"
136,Netflix Suspends ‘House Of Cards’ Over Kevin Spacey Assault Allegations,"SEE MORE: Opinion, Vol 53 Issue 44"
137,Climate Change Threatening Global Coffee Crops,"SEE MORE: Opinion, Vol 53 Issue 44"
138,Kellogg’s Apologizes For Racially Insensitive Corn Pops Box,"SEE MORE: Opinion, Vol 53 Issue 44"
139,Study: Regular Pot Smokers Have More Sex,"SEE MORE: Opinion, Vol 53 Issue 44"
140,Pope Francis Washes Feet Of Phillie Phanatic,"News in Photos, pope, baseball, Pope Francis, SEE MORE: News, Vol 51 Issue 38"
141,Horrified Pope Calls Philadelphia Humanity’s Greatest Sin Against God,"pope, News in Brief, Pope Francis, world leaders, SEE MORE: News, Vol 51 Issue 38"
142,Pope Francis Delivers Eucharist Philly Style,"News in Photos, pope, Pope Francis, world leaders, SEE MORE: News, Vol 51 Issue 38"
143,Vol 52 Issue 23,
144,Features Of Android Oreo,"SEE MORE: technology, Vol 53 Issue 34, cell phones, smart phones, Infographic"
145,Vol 52 Issue 19,
146,Vol 53 Issue 39,
147,"The Life Of Diana, Princess Of Wales","history, Vol 53 Issue 35, SEE MORE: World, Princess Diana, Infographic"
148,How Hurricanes Form,"weather, hurricane, Vol 53 Issue 36, SEE MORE: science, Infographic"
149,World Leaders,
150,It’s An Honor To Continue Being Valued Over Countless Human Lives,"government, congress, An AR-15, Commentary, guns, violence, death, Vol 52 Issue 23, SEE MORE: Opinion"
151,Vol 51 Issue 40,
152,Entrance Fee For National Parks Could Be Increased To $$70,"VOL 53 ISSUE 43, SEE MORE: Opinion"
153,Vol 51 Issue 38,
154,Vol 51 Issue 32,
155,Vol 53 Issue 34,
156,Vol 52 Issue 01,
157,Nation’s Dads Announce Plans To Trade In The Dodge For Something With A Little More Zip,"Vol 53 Issue 39, News in Brief, Family, automobiles, SEE MORE: News, Autos"
158,Queen Elizabeth Hoping She Dies Before Having To Knight Any DJs,"News in Brief, SEE MORE: News, Vol 52 Issue 31, world leaders"
159,Ayatollah Khamenei Addresses Tehran Prison Mess Hall During Annual Press Correspondents’ Dinner,"Vol 52 Issue 30, news media, SEE MORE: News, world leaders"
160,New Dietary Guidelines Met With Contention,"SEE MORE: Opinion, Vol 51 Issue 40, American Voices"
161,Child’s Loose Grasp On Balloon Only Thing Between Peace And Anarchy At Restaurant,"kids, SEE MORE: Lifestyle, News in Brief, Vol 51 Issue 40, dining, food"
162,Vol 53 Issue 35,
163,Report: New iPhone Will No Longer Secretly Record Every Word You Say,"iPhone, technology, News in Brief, apple, smart phones, SEE MORE: News, Vol 53 Issue 36"
164,2017 Sets All-Time Record For Store Closings,"VOL 53 ISSUE 43, SEE MORE: Opinion"
165,Vol 52 Issue 31,
166,Powerball Officials Remove Plastic Balls From Pig Urine Brine,"News in Photos, SEE MORE: News, Vol 52 Issue 01"
167,New Survey Highlights Silicon Valley Sexism,"SEE MORE: Opinion, Vol 52 Issue 01, American Voices"
168,How To Adopt A Child,"kids, parenting, SEE MORE: Lifestyle, Tips, Vol 52 Issue 01, Infographic"
169,We’re Running Out Of Time If We Still Want To Kill And Eat Jane Goodall,"A Chimpanzee, SEE MORE: Opinion, Vol 53 Issue 20, Commentary"
170,"Oh, So I’m Distant And Emotionally Abusive For Several Years, And All Of A Sudden I’m Not Good Enough For You Anymore?","SEE MORE: Opinion, Vol 53 Issue 19, Kirk Pierson, Commentary"
171,Vol 52 Issue 30,
172,Is This A Bunch Of Assholes Fucking Around Or Is This A Clown Ministry?,"SEE MORE: Opinion, Bingo J. Prayerful, Vol 53 Issue 23, Commentary"
173,I Sometimes Wish Lawyers Existed Outside The Fantastical World Of My Novels,"SEE MORE: Opinion, John Grisham, Vol 53 Issue 22, Commentary"
174,"I Believe My Experience Working On Films Such As ‘Seven,’ ‘Ocean’s Eleven,’ and ‘World War Z’ Would Make Me A Valuable Asset To Your Next Action Movie","SEE MORE: Opinion, Brad Pitt, Vol 53 Issue 24, Commentary"
175,Taylor Swift,
176,Studio Developing Female-Centered ‘Lord Of The Flies’ Remake,"SEE MORE: Opinion, American Voices, Vol 53 Issue 35"
177,Buick Regal Named Best Vehicle In Class For Idling Outside Off-Track Betting Parlor,"automobiles, SEE MORE: News, Vol 53 Issue 08, News in Brief, automotive"
178,5 Things To Know About Uber,"SEE MORE: video, Autos, technology, Internet, automobiles"
179,Planning The Perfect Road Trip,"SEE MORE: video, Vacations, automobiles, travel"
180,Taylor Swift Releases New Breakup Song Slamming Winner Of 'Win A Date With Taylor Swift' Contest,"SEE MORE: News, Taylor Swift, video"
181,Mental Health,
182,Photo finish,
183,Vol 53 Issue 08,
184,Amazon Mistakenly Delivers 63 Pounds Of Marijuana To Couple,"VOL 53 ISSUE 43, SEE MORE: Opinion"
185,Vol 53 Issue 13,
186,Pros And Cons Of Celebrating Columbus Day,"SEE MORE: video, holidays"
187,How Public Schools Spend Taxpayer Money,"SEE MORE: video, education, school, taxes, finance"
188,Tips On Making Friends In A New City,"SEE MORE: video, Tips"
189,Vol 53 Issue 30,
190,Depressed Crab Stays Buried Under Sand Until 2 P.M.,"mental health, Vol 53 Issue 12, News in Photos, Nature, SEE MORE: animals"
191,Tips To Spice Up Your Sex Life,"SEE MORE: video, sex, Tips"
192,"Report: Buddy Dysmorphia Sufferers Experience Skewed, Negative Perception Of Shape Of Friends","mental health, SEE MORE: News, Vol 53 Issue 29, science, News in Brief"
193,Vol 53 Issue 18,
194,Study: ‘Hangin’ In There’ Best One Can Now Feel,"mental health, SEE MORE: News, Vol 53 Issue 14, science, News in Brief"
195,Most Anticipated Video Games Of The Fall,"SEE MORE: video, video games"
196,Vol 53 Issue 29,
197,"Friends, Family Waiting For Current Bout Of Man’s Depression To Subside Before Really Laying Into Him","mental health, Vol 53 Issue 15, friends, News in Brief, Family, relationships, SEE MORE: health"
198,Super 8 Offering Writers Residency For Anyone Working On Suicide Note,"mental health, SEE MORE: News, News in Brief, Vol 53 Issue 16"
199,Video – Onion Info Clips,
200,Vol 53 Issue 31,
201,Study Finds Expressing Anger In Unhealthy Ways Actually Incredibly Satisfying,"mental health, Vol 53 Issue 32, SEE MORE: News, science, News in Brief"
202,Vol 48 Issue 50,
203,The Onion's Top 5 Horror Movies Of All Time,
204,Vol 49 Issue 07,
205,Relationships,
206,Man Who Will Die In Great Eastern Seaboard Flood Of 2023 Preparing For Mayan Apocalypse,"SEE MORE: News, Vol 48 Issue 50"
207,Trump To Allow Release Of Classified JFK Documents,"VOL 53 ISSUE 43, SEE MORE: Opinion"
208,Plot To Murder Justin Bieber Foiled,"SEE MORE: Opinion, American Voices, Vol 48 Issue 50"
209,George W. Bush Warns Of Rise Of Conspiracy Theories,"SEE MORE: Opinion, Vol 53 Issue 42"
210,Least Festive Christmas Songs,"SEE MORE: Opinion, Statshot, Vol 48 Issue 50"
211,Businessman Goes Home For The Holidays To Network With Family,"News in Brief, SEE MORE: The Onion's Guide To The Holidays, Vol 48 Issue 50"
212,'Whitney Houston' Top Google Search Of 2012,"SEE MORE: Opinion, American Voices, Vol 48 Issue 50"
213,Study: Men’s And Women’s Brains React Differently To Helping Others,"VOL 53 ISSUE 43, SEE MORE: Opinion"
214,No 'Fiscal Cliff' Deal In Sight,"SEE MORE: Opinion, American Voices, Vol 48 Issue 50"
215,"30,000 Things To Want","SEE MORE: Lifestyle, Vol 48 Issue 50, Sunday Magazine"
216,"Fuck Everything, Nation Reports","SEE MORE: News, Vol 48 Issue 50"
217,"'Just Illegalize Us Already,' Nation's Assault Weapons Beg","News in Photos, SEE MORE: News, Vol 48 Issue 50"
218,Report: It Okay To Spend Rest Of Day Curled In Fetal Position Under Desk,"News in Brief, SEE MORE: News, Vol 48 Issue 50"
219,The Week In Pictures,"SEE MORE: News, Vol 48 Issue 50, Slideshow"
220,Right To Own Handheld Device That Shoots Deadly Metal Pellets At High Speed Worth All Of This,"News in Brief, SEE MORE: News, Vol 48 Issue 50"
221,"'Right To Live Life In Complete, Stunned Horror,' Added To Constitution","News in Brief, SEE MORE: News, Vol 48 Issue 50"
222,Treasure Hunters Discover Wreck Of 18th-Century Carnival Cruise Ship,"News in Photos, SEE MORE: News, Vol 48 Issue 50"
223,Hackers Ransoming Confidential HBO Data,"SEE MORE: Opinion, Vol 53 Issue 31, American Voices"
224,Olympics Considering Adding ESports To 2024 Games,"SEE MORE: Opinion, Vol 53 Issue 31, American Voices"
225,Trump Cancels Sleep Disorder Screenings For Truckers,"SEE MORE: Opinion, Vol 53 Issue 31, American Voices"
226,Vol 53 Issue 32,
227,Europe Facing Butter Shortage,"SEE MORE: Opinion, Vol 53 Issue 31, American Voices"
228,Walmart Apologizes For Back-To-School Gun Display,"SEE MORE: Opinion, Vol 53 Issue 31, American Voices"
229,Woman Still Holding Onto Hope That Toxic Friendship Could Blossom Into A Toxic Relationship,"friends, Vol 53 Issue 17, dating, News in Brief, SEE MORE: relationships, friendship"
230,Study Finds Not Acting Like Total Fucking Moron Most Attractive Quality In Potential Mate,"dating, SEE MORE: Lifestyle, News in Brief, relationships, science, Vol 53 Issue 20"
231,Entertainment,
232,The Onion's Guide To The Holidays,
233,Sunday Magazine,
234,Vol 53 Issue 42,
235,Empty Wall Behind Couch Falls Into Girlfriend’s Crosshairs,"News in Brief, SEE MORE: relationships, Home, Vol 53 Issue 20, dating"
236,Inverted Bob Added To Supercuts Arctic Vault Where Hairstyles Preserved For Future Generations,"World, SEE MORE: News, Vol 53 Issue 32, News in Brief"
237,Man Misidentified As Charlottesville Terrorist Suing Right-Wing News Sites,"SEE MORE: Opinion, Vol 53 Issue 32, American Voices"
238,Third Royal Baby Due In April,"SEE MORE: Opinion, Vol 53 Issue 42"
239,Study: Screen Time Delays Speech Development In Young Children,"VOL 53 ISSUE 43, SEE MORE: Opinion"
240,Spanish Authorities Ask Anyone With Information About Curbing Endless Cycle Of Nihilistic Violence To Come Forward,"SEE MORE: News, News in Photos, crime, terrorism, terror, World, Vol 53 Issue 32"
241,College Football,
242,Trump Drops 92 Spots On List Of Richest Americans,"SEE MORE: Opinion, Vol 53 Issue 42"
243,Donald trump jr.,
244,Steve bannon,
245,Costco Forced To Pay $$19 Million For Selling Fake Tiffany Rings,"SEE MORE: Opinion, Vol 53 Issue 32, American Voices"
